 ********************************************************************************
 *** Global Monthly and Annual Temperature Anomalies (degrees C), 1850-2015   ***
 ***                                                                          ***
 ***                     (Relative to the 1961-1990 Mean)                     ***
 ***                                                                          ***
 ***                               (May 2016)                                 ***
 ***                                                                          ***
 *** Source: P. D. Jones                         D. E. Parker                 ***
 ***         T. J. Osborn                        Hadley Centre for Climate    ***
 ***         K. R. Briffa                          Prediction and Research    ***
 ***         Climatic Research Unit              Meteorological Office        ***
 ***         School of Environmental Sciences    Bracknell, Berkshire,        ***
 ***         University of East Anglia           United Kingdom               ***
 ***         Norwich NR4 7TJ, United Kingdom                                  ***
 ********************************************************************************

 YEAR   JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   ANNUAL 
 1915 -0.117 -0.057 -0.193 -0.056 -0.218 -0.221 -0.118 -0.076 -0.141 -0.259 -0.140 -0.256 -0.151
 1916 -0.245 -0.186 -0.405 -0.344 -0.363 -0.473 -0.380 -0.348 -0.343 -0.403 -0.573 -0.627 -0.388
 1917 -0.684 -0.762 -0.826 -0.476 -0.655 -0.351 -0.120 -0.223 -0.123 -0.390 -0.396 -0.624 -0.467
 1918 -0.505 -0.524 -0.446 -0.492 -0.424 -0.332 -0.342 -0.364 -0.238 -0.098 -0.033 -0.227 -0.335
 1919 -0.098 -0.079 -0.302 -0.074 -0.265 -0.252 -0.364 -0.330 -0.232 -0.305 -0.531 -0.456 -0.275
 1920 -0.244 -0.425 -0.123 -0.265 -0.191 -0.215 -0.291 -0.231 -0.137 -0.224 -0.284 -0.345 -0.246
 1921 -0.137 -0.179 -0.251 -0.228 -0.204 -0.117 -0.138 -0.279 -0.162 -0.139 -0.301 -0.153 -0.187
 1922 -0.398 -0.273 -0.269 -0.235 -0.382 -0.320 -0.229 -0.347 -0.283 -0.322 -0.288 -0.304 -0.302
 1923 -0.230 -0.414 -0.408 -0.361 -0.321 -0.244 -0.347 -0.378 -0.321 -0.264 -0.020 -0.004 -0.272
 1924 -0.315 -0.202 -0.270 -0.280 -0.239 -0.216 -0.264 -0.276 -0.279 -0.313 -0.362 -0.526 -0.293
 1925 -0.398 -0.305 -0.223 -0.276 -0.258 -0.254 -0.217 -0.130 -0.189 -0.305 -0.056  0.007 -0.213
 1926  0.090 -0.042 -0.022 -0.169 -0.219 -0.092 -0.235 -0.087 -0.104 -0.085 -0.109 -0.234 -0.106
 1927 -0.254 -0.146 -0.326 -0.260 -0.259 -0.238 -0.146 -0.144 -0.132 -0.040 -0.173 -0.425 -0.210
 1928 -0.050 -0.138 -0.339 -0.255 -0.286 -0.344 -0.165 -0.176 -0.223 -0.169 -0.157 -0.235 -0.208
 1929 -0.479 -0.666 -0.406 -0.389 -0.389 -0.350 -0.362 -0.189 -0.267 -0.180 -0.074 -0.473 -0.350
 1930 -0.330 -0.293 -0.155 -0.193 -0.197 -0.162 -0.120 -0.057 -0.078 -0.093  0.076 -0.072 -0.136
 1931 -0.002 -0.151 -0.120 -0.180 -0.165 -0.036  0.007 -0.047 -0.047 -0.040 -0.148 -0.101 -0.083
 1932  0.162 -0.191 -0.237 -0.066 -0.168 -0.194 -0.128 -0.196 -0.037 -0.172 -0.231 -0.192 -0.134
 1933 -0.285 -0.315 -0.341 -0.218 -0.211 -0.260 -0.185 -0.176 -0.234 -0.198 -0.310 -0.525 -0.269
 1934 -0.218 -0.160 -0.388 -0.249 -0.079 -0.042 -0.064 -0.058 -0.094 -0.084  0.024 -0.132 -0.126
 1935 -0.223  0.105 -0.222 -0.267 -0.242 -0.185 -0.144 -0.153 -0.136 -0.076 -0.299 -0.264 -0.173
 1936 -0.298 -0.354 -0.293 -0.202 -0.150 -0.162 -0.022 -0.043 -0.105 -0.003 -0.070 -0.009 -0.141
 1937 -0.121  0.039 -0.273 -0.128 -0.079 -0.008  0.051  0.082  0.112  0.121  0.002 -0.101 -0.024
 1938  0.019  0.019  0.064  0.085 -0.087 -0.059 -0.045  0.013  0.063  0.147  0.019 -0.293 -0.003
 1939 -0.066 -0.043 -0.260 -0.095 -0.027  0.062  0.052  0.040 -0.072 -0.273 -0.121  0.216 -0.047
 1940 -0.185 -0.033 -0.107  0.065  0.026  0.037  0.142  0.050  0.124  0.013 -0.060  0.159  0.020
 1941 -0.096 -0.019 -0.141  0.023 -0.020  0.123  0.116  0.019 -0.129  0.219  0.053  0.101  0.021
 1942  0.212 -0.078 -0.087 -0.061 -0.010  0.034 -0.074 -0.061  0.005 -0.076 -0.072  0.013 -0.023
 1943 -0.202  0.068 -0.200  0.006 -0.013 -0.094  0.000 -0.001 -0.014  0.237  0.027  0.198  0.001
 1944  0.290  0.140  0.148  0.056  0.068  0.152  0.221  0.238  0.303  0.212  0.009 -0.020  0.152
 1945 -0.003 -0.086 -0.039  0.167 -0.099  0.006 -0.080  0.364  0.162  0.185 -0.012 -0.206  0.030
 1946  0.101  0.046 -0.063  0.135 -0.121 -0.266 -0.048 -0.146 -0.007 -0.048 -0.091 -0.357 -0.070
 1947 -0.116 -0.180 -0.066  0.096 -0.060  0.007 -0.006 -0.038 -0.075  0.077  0.043 -0.175 -0.040
 1948  0.089 -0.126 -0.175 -0.042  0.109  0.075 -0.109 -0.001 -0.057  0.031 -0.051 -0.203 -0.037
 1949  0.150 -0.145 -0.178  0.009 -0.043 -0.186 -0.089 -0.038 -0.072 -0.032 -0.077 -0.188 -0.071
 1950 -0.333 -0.245 -0.178 -0.165 -0.087 -0.074 -0.039 -0.112 -0.106 -0.125 -0.391 -0.254 -0.172
 1951 -0.355 -0.463 -0.298 -0.105 -0.013  0.037  0.049  0.142  0.093  0.129 -0.038  0.174 -0.052
 1952  0.182  0.135 -0.130  0.055  0.040  0.040  0.099  0.094  0.098 -0.009 -0.189 -0.060  0.030
 1953  0.067  0.146  0.130  0.195  0.138  0.164  0.054  0.095  0.076  0.073 -0.073  0.090  0.097
 1954 -0.237 -0.088 -0.155 -0.151 -0.207 -0.130 -0.198 -0.094 -0.087 -0.036  0.022 -0.235 -0.132
 1955  0.125 -0.166 -0.405 -0.244 -0.235 -0.168 -0.200 -0.063 -0.117 -0.164 -0.313 -0.336 -0.190
 1956 -0.248 -0.348 -0.311 -0.335 -0.280 -0.225 -0.211 -0.243 -0.281 -0.230 -0.259 -0.207 -0.265
 1957 -0.167 -0.129 -0.185 -0.064  0.052  0.084  0.003  0.094  0.038 -0.013  0.056  0.158 -0.005
 1958  0.269  0.183 -0.004  0.038  0.035 -0.016  0.041  0.010 -0.052  0.015  0.012  0.027  0.046
 1959  0.087  0.030  0.080  0.046 -0.012  0.063  0.030  0.048  0.038 -0.035 -0.112 -0.070  0.016
 1960 -0.029  0.102 -0.316 -0.176 -0.154 -0.029 -0.027  0.007  0.062 -0.027 -0.150  0.141 -0.049
 1961  0.046  0.185  0.096  0.097  0.087  0.108  0.016  0.030 -0.029 -0.031 -0.020 -0.112  0.039
 1962  0.055  0.139  0.027  0.025 -0.044 -0.054  0.016 -0.003 -0.014  0.045  0.009 -0.010  0.016
 1963 -0.050  0.152 -0.142 -0.067 -0.021 -0.033  0.110  0.127  0.126  0.224  0.161 -0.007  0.048
 1964 -0.045 -0.124 -0.276 -0.244 -0.175 -0.159 -0.171 -0.258 -0.284 -0.268 -0.297 -0.356 -0.222
 1965 -0.103 -0.244 -0.215 -0.255 -0.159 -0.110 -0.181 -0.112 -0.095 -0.030 -0.140 -0.066 -0.141
 1966 -0.096 -0.094 -0.063 -0.107 -0.141  0.035  0.031 -0.022 -0.040 -0.105 -0.096 -0.144 -0.070
 1967 -0.167 -0.235 -0.052 -0.068  0.073 -0.086 -0.066 -0.065 -0.097  0.060 -0.064 -0.151 -0.076
 1968 -0.242 -0.214  0.036 -0.170 -0.221 -0.106 -0.103 -0.060 -0.086 -0.018 -0.070 -0.110 -0.113
 1969 -0.171 -0.170 -0.004  0.108  0.126  0.023  0.038  0.051  0.015  0.023  0.132  0.194  0.030
 1970  0.072  0.143 -0.069  0.058 -0.036 -0.014 -0.049 -0.090 -0.039 -0.074 -0.049 -0.165 -0.027
 1971 -0.097 -0.291 -0.286 -0.237 -0.215 -0.233 -0.129 -0.168 -0.123 -0.160 -0.080 -0.204 -0.186
 1972 -0.376 -0.287 -0.134 -0.079 -0.065  0.003 -0.025  0.013 -0.059  0.002 -0.005  0.183 -0.068
 1973  0.146  0.276  0.226  0.162  0.086  0.110  0.025  0.018 -0.038 -0.041 -0.095 -0.108  0.064
 1974 -0.376 -0.406 -0.233 -0.179 -0.195 -0.151 -0.125 -0.082 -0.129 -0.215 -0.211 -0.237 -0.212
 1975 -0.071 -0.092 -0.075 -0.088 -0.083 -0.084 -0.109 -0.179 -0.126 -0.228 -0.313 -0.304 -0.146
 1976 -0.230 -0.323 -0.442 -0.196 -0.317 -0.250 -0.185 -0.201 -0.164 -0.313 -0.176 -0.081 -0.240
 1977 -0.081  0.079  0.104  0.094  0.069  0.109  0.060 -0.001  0.032 -0.006  0.137 -0.056  0.045
 1978  0.014 -0.038  0.027 -0.062 -0.089 -0.133 -0.063 -0.188 -0.054 -0.116  0.045 -0.100 -0.063
 1979 -0.038 -0.140  0.014 -0.048 -0.030  0.058  0.054  0.080  0.092  0.131  0.147  0.356  0.056
 1980  0.133  0.219  0.072  0.140  0.139  0.070  0.060  0.036  0.037  0.007  0.131  0.058  0.092
 1981  0.334  0.196  0.207  0.128  0.066  0.123  0.094  0.122  0.072  0.003  0.071  0.267  0.140
 1982 -0.048  0.005 -0.127  0.026  0.043 -0.049 -0.019 -0.009  0.074  0.005 -0.010  0.253  0.012
 1983  0.431  0.310  0.209  0.115  0.135  0.136  0.151  0.198  0.188  0.099  0.257  0.083  0.193
 1984  0.120  0.017  0.050 -0.041  0.090 -0.014 -0.034  0.040  0.036 -0.023 -0.124 -0.277 -0.013
 1985  0.008 -0.138 -0.026 -0.035 -0.002 -0.059 -0.057  0.030 -0.030  0.021 -0.077  0.013 -0.029
 1986  0.127  0.089  0.076  0.082  0.044  0.051  0.000  0.005  0.013  0.064 -0.004  0.010  0.046
 1987  0.112  0.302  0.024  0.093  0.143  0.125  0.266  0.233  0.272  0.200  0.196  0.322  0.191
 1988  0.390  0.229  0.268  0.228  0.210  0.224  0.181  0.179  0.188  0.146  0.030  0.149  0.201
 1989  0.015  0.147  0.135  0.080  0.079  0.079  0.162  0.181  0.145  0.154  0.062  0.210  0.121
 1990  0.222  0.307  0.562  0.367  0.280  0.279  0.234  0.252  0.175  0.330  0.316  0.247  0.297
 1991  0.288  0.292  0.190  0.385  0.302  0.306  0.312  0.261  0.243  0.187  0.158  0.125  0.254
 1992  0.366  0.321  0.252  0.144  0.178  0.127 -0.013  0.006 -0.059 -0.050 -0.089  0.078  0.105
 1993  0.312  0.252  0.244  0.131  0.179  0.177  0.133  0.096  0.062  0.098 -0.046  0.119  0.145
 1994  0.178 -0.052  0.220  0.206  0.271  0.265  0.173  0.182  0.187  0.307  0.308  0.245  0.206
 1995  0.419  0.595  0.325  0.284  0.216  0.308  0.327  0.354  0.252  0.329  0.322  0.127  0.321
 1996  0.115  0.323  0.186  0.130  0.216  0.170  0.221  0.205  0.099  0.135  0.149  0.234  0.182
 1997  0.206  0.318  0.347  0.273  0.286  0.402  0.366  0.438  0.475  0.554  0.498  0.505  0.389
 1998  0.483  0.763  0.558  0.636  0.573  0.592  0.672  0.603  0.392  0.404  0.295  0.473  0.536
 1999  0.347  0.589  0.228  0.327  0.245  0.273  0.291  0.223  0.298  0.254  0.237  0.383  0.307
 2000  0.227  0.455  0.382  0.479  0.280  0.275  0.262  0.358  0.307  0.222  0.162  0.151  0.295
 2001  0.363  0.325  0.515  0.453  0.414  0.430  0.465  0.500  0.418  0.417  0.611  0.370  0.440
 2002  0.661  0.705  0.699  0.465  0.425  0.476  0.487  0.445  0.420  0.407  0.449  0.327  0.496
 2003  0.596  0.453  0.459  0.437  0.477  0.460  0.477  0.550  0.542  0.612  0.459  0.595  0.509
 2004  0.502  0.611  0.525  0.479  0.315  0.328  0.358  0.397  0.442  0.472  0.600  0.359  0.450
 2005  0.550  0.395  0.560  0.603  0.520  0.552  0.550  0.540  0.566  0.608  0.629  0.472  0.544
 2006  0.385  0.562  0.463  0.407  0.401  0.525  0.488  0.532  0.499  0.562  0.541  0.698  0.505
 2007  0.832  0.560  0.524  0.581  0.447  0.419  0.441  0.443  0.459  0.481  0.387  0.349  0.493
 2008  0.171  0.245  0.550  0.331  0.340  0.362  0.451  0.432  0.406  0.547  0.524  0.391  0.395
 2009  0.481  0.441  0.406  0.515  0.441  0.554  0.539  0.589  0.564  0.515  0.545  0.474  0.506
 2010  0.561  0.577  0.678  0.679  0.591  0.587  0.619  0.543  0.442  0.496  0.593  0.343  0.559
 2011  0.313  0.327  0.425  0.480  0.384  0.489  0.510  0.488  0.454  0.453  0.347  0.401  0.422
 2012  0.306  0.302  0.358  0.575  0.574  0.557  0.510  0.536  0.553  0.556  0.554  0.275  0.470
 2013  0.450  0.486  0.401  0.439  0.520  0.487  0.514  0.533  0.535  0.497  0.639  0.508  0.499
 2014  0.523  0.313  0.561  0.657  0.599  0.618  0.541  0.666  0.589  0.626  0.489  0.634  0.567
 2015  0.688  0.660  0.681  0.656  0.696  0.730  0.696  0.732  0.784  0.820  0.810  1.010  0.746
